OID_,Value,DepoZone,EUcropClas,SlopeClass,DepoZones,CropShort,SlopeTxt,lucode,Ndeposition,NUE,PUE,load_n,eff_n,crit_len_n,proportion_subsurface_n,load_p,eff_p,crit_len_p
145,146,6,5,1,5.001-6 kg ha,Water & Wetlands,<= 1/2 STD = < 2.53 degrees,146,5.464845181,0.67,0.88,1.80339891,0,200,0.937378764,0,0,200
146,147,6,1,1,5.001-6 kg ha,NaturalTrees,<= 1/2 STD = < 2.53 degrees,147,5.499288082,0.63,0.72,2.03473659,0.628856778,200,0.979599595,0,0.628856778,200
147,148,6,1,2,5.001-6 kg ha,NaturalTrees,<= mean = 2.531- 5.06 degrees,148,5.512472153,0.63,0.67,2.039614697,0.684752643,200,0.818093896,0,0.684752643,200
148,149,6,5,5,5.001-6 kg ha,Water & Wetlands,> mean + 3STD = 26.558-89.281 degrees,149,5.469163418,0.57,0.63,2.35174027,0.10521321,200,1,0,0.10521321,200
149,150,4,4,5,3.001-4 kg ha,Built-up and artificial,> mean + 3STD = 26.558-89.281 degrees,150,3.583189011,0.57,0.64,1.540771275,0.302021354,200,0.829608381,0,0.302021354,200
150,151,3,6,2,2.001-3 kg ha,Improved Grasslands,<= mean = 2.531- 5.06 degrees,151,2.684641361,0.79,0.75,0.563774686,0.897240996,200,0.983482122,0,0.897240996,200
151,152,3,6,1,2.001-3 kg ha,Improved Grasslands,<= 1/2 STD = < 2.53 degrees,152,2.737752199,0.79,0.97,0.574927962,0.782417655,200,0.972684145,0,0.782417655,200
152,153,3,6,3,2.001-3 kg ha,Improved Grasslands,<= mean + 1 STD = 5.061-12.225 degrees,153,2.602455378,0.84,0.66,0.41639286,0.899999976,200,0.985239983,0,0.899999976,200
153,154,3,6,4,2.001-3 kg ha,Improved Grasslands,<= mean + 3 STD (1 STD + 2STD) = 12.226- 26.557 degrees,154,2.572159052,0.79,0.65,0.540153401,0.899999976,200,0.985171884,0,0.899999976,200
154,155,2,6,5,1.001-2 kg ha,Improved Grasslands,> mean + 3STD = 26.558-89.281 degrees,155,1.9101215,0.13,0.5,1.661805705,0.495622188,200,0.990285695,0,0.495622188,200
